text,true_emotion,pred_emotion,true_sub_emotion,pred_sub_emotion,true_intensity,pred_intensity,emotion_confidence,sub_emotion_confidence,intensity_confidence,text_length,emotion_correct,sub_emotion_correct,intensity_correct,all_correct,confidence_level
Hang on to your seats cuz Asia's Next Top Model is back with a vengeance,happiness,anger,excitement,annoyance,intense,moderate,0.44513485,0.119276196,0.45276192,72,False,False,False,False,Very Low
Thousands of model hopefuls from all over Asia jumped at the chance to pursue their supermodel dream,neutral,happiness,neutral,optimism,moderate,mild,0.600879,0.22662883,0.42227608,100,False,False,False,False,Medium
But only the standout modeling talent were chosen as our final 14,neutral,happiness,neutral,neutral,moderate,mild,0.408702,0.3036762,0.39338058,65,False,True,False,False,Low
Prepare for an adventure of a lifetime,happiness,happiness,excitement,optimism,intense,mild,0.5771909,0.22006328,0.43995804,38,True,False,False,False,Medium
All I can say girls for this fierce fifth season is be prepared to expect the unexpected,happiness,happiness,excitement,optimism,moderate,moderate,0.4622968,0.26016006,0.46875128,88,True,False,True,False,Low
With twists and turns at every corner. This is a crazy competition,neutral,anger,neutral,annoyance,intense,moderate,0.41184786,0.1252338,0.445002,66,False,False,False,False,Very Low
"If you don't really want to be here, it's short. They will stop at nothing to come out on top",neutral,anger,neutral,annoyance,intense,moderate,0.40299827,0.16899675,0.45928973,93,False,False,False,False,Very Low
I don't want to trust anyone with some of the top names in the industry,neutral,anger,neutral,disapproval,moderate,moderate,0.27075595,0.18661061,0.47799033,71,False,False,True,False,Very Low
If you're rich bitch show me and me Cindy Bishop back for a cycle like no other,neutral,happiness,neutral,neutral,moderate,moderate,0.27828544,0.20927665,0.40844637,79,False,True,True,False,Very Low
We'll kill it on the international stage. The challenges are tough,neutral,fear,neutral,fear,intense,moderate,0.51515293,0.08188346,0.47914714,66,False,False,False,False,Low
"Okay, I got my work cut out for me now",neutral,anger,neutral,neutral,moderate,neutral,0.28473112,0.40995952,0.45070404,38,False,True,False,False,Low
Let the games begin,neutral,neutral,neutral,neutral,intense,neutral,0.6220323,0.7609075,0.78723437,19,True,True,False,False,Very High
Would say that I'm a model with brains. I am putting my degree in whole,neutral,happiness,neutral,neutral,moderate,mild,0.31740525,0.3046351,0.3996946,71,False,True,False,False,Very Low
It's now or never and by one last shot before I jump back into the world of academia,neutral,fear,neutral,neutral,intense,neutral,0.34789652,0.36402652,0.43461138,84,False,True,False,False,Low
"Indonesia, of course, obviously, we're twins",neutral,happiness,neutral,neutral,neutral,neutral,0.31092927,0.37703788,0.4566753,44,False,True,True,False,Low
Double power,neutral,neutral,neutral,neutral,moderate,neutral,0.5779216,0.81391734,0.7700954,12,True,True,False,False,Very High
"It was my idea to come to Asia's Next Top Model, sorry, Veronica",happiness,sadness,pride,sadness,mild,moderate,0.6358724,0.07889149,0.40639967,64,False,False,False,False,Low
"Even if you're my twin sister, but I'm gonna win this there's two of us and only one winner",neutral,happiness,neutral,optimism,intense,moderate,0.5358792,0.2284639,0.4110342,91,False,False,False,False,Low
Really love fashion. So I started my fashion blog. I have,neutral,happiness,neutral,joy,moderate,moderate,0.6441689,0.118860886,0.37791497,57,False,False,True,False,Low
