text,true_emotion,pred_emotion,true_sub_emotion,pred_sub_emotion,true_intensity,pred_intensity,emotion_confidence,sub_emotion_confidence,intensity_confidence,text_length,emotion_correct,sub_emotion_correct,intensity_correct,all_correct,confidence_level
Hang on to your seats cuz Asia's Next Top Model is back with a vengeance,happiness,happiness,excitement,neutral,intense,mild,0.5804286,0.20533845,0.40872,72,True,False,False,False,Low
Thousands of model hopefuls from all over Asia jumped at the chance to pursue their supermodel dream,neutral,happiness,neutral,neutral,moderate,mild,0.66684735,0.13712727,0.4571683,100,False,True,False,False,Low
But only the standout modeling talent were chosen as our final 14,neutral,happiness,neutral,neutral,moderate,neutral,0.3951381,0.5105316,0.47179434,65,False,True,False,False,Medium
Prepare for an adventure of a lifetime,happiness,happiness,excitement,neutral,intense,mild,0.5993317,0.22242296,0.41300336,38,True,False,False,False,Low
All I can say girls for this fierce fifth season is be prepared to expect the unexpected,happiness,happiness,excitement,neutral,moderate,mild,0.54100597,0.20164223,0.36289835,88,True,False,False,False,Very Low
With twists and turns at every corner. This is a crazy competition,neutral,sadness,neutral,annoyance,intense,moderate,0.32662708,0.12156864,0.5000259,66,False,False,False,False,Very Low
"If you don't really want to be here, it's short. They will stop at nothing to come out on top",neutral,fear,neutral,neutral,intense,moderate,0.21580864,0.28653494,0.49656245,93,False,True,False,False,Very Low
I don't want to trust anyone with some of the top names in the industry,neutral,sadness,neutral,neutral,moderate,moderate,0.34719014,0.14185372,0.4883037,71,False,True,True,False,Very Low
If you're rich bitch show me and me Cindy Bishop back for a cycle like no other,neutral,anger,neutral,neutral,moderate,moderate,0.31653142,0.24828658,0.41549212,79,False,True,True,False,Very Low
We'll kill it on the international stage. The challenges are tough,neutral,happiness,neutral,neutral,intense,mild,0.542965,0.1760375,0.3476795,66,False,True,False,False,Very Low
"Okay, I got my work cut out for me now",neutral,happiness,neutral,neutral,moderate,mild,0.5834357,0.17682478,0.37958986,38,False,True,False,False,Low
Let the games begin,neutral,neutral,neutral,neutral,intense,neutral,0.66671234,0.81705326,0.8250719,19,True,True,False,False,Very High
Would say that I'm a model with brains. I am putting my degree in whole,neutral,happiness,neutral,neutral,moderate,mild,0.53441006,0.2875678,0.5257819,71,False,True,False,False,Medium
It's now or never and by one last shot before I jump back into the world of academia,neutral,neutral,neutral,neutral,intense,neutral,0.27754256,0.49675256,0.44893277,84,True,True,False,False,Low
Double power,neutral,happiness,neutral,neutral,moderate,neutral,0.40929303,0.54108393,0.5258548,12,False,True,False,False,High
"It was my idea to come to Asia's Next Top Model, sorry, Veronica",happiness,neutral,pride,neutral,mild,mild,0.18726324,0.3943511,0.35618135,64,False,False,True,False,Very Low
"Even if you're my twin sister, but I'm gonna win this there's two of us and only one winner",neutral,happiness,neutral,neutral,intense,neutral,0.418037,0.33045435,0.34310296,91,False,True,False,False,Very Low
