text,true_emotion,pred_emotion,true_sub_emotion,pred_sub_emotion,true_intensity,pred_intensity,emotion_confidence,sub_emotion_confidence,intensity_confidence,text_length,emotion_correct,sub_emotion_correct,intensity_correct,all_correct,confidence_level
Hang on to your seats cuz Asia's Next Top Model is back with a vengeance,happiness,happiness,excitement,neutral,intense,mild,0.42702186,0.24716902,0.42345402,72,True,False,False,False,Low
Thousands of model hopefuls from all over Asia jumped at the chance to pursue their supermodel dream,neutral,happiness,neutral,neutral,moderate,mild,0.6081995,0.11780689,0.4032993,100,False,True,False,False,Low
But only the standout modeling talent were chosen as our final 14,neutral,neutral,neutral,neutral,moderate,neutral,0.460394,0.7218758,0.60744774,65,True,True,False,False,High
Prepare for an adventure of a lifetime,happiness,happiness,excitement,neutral,intense,moderate,0.5266744,0.1544076,0.36143523,38,True,False,False,False,Low
All I can say girls for this fierce fifth season is be prepared to expect the unexpected,happiness,happiness,excitement,neutral,moderate,moderate,0.48449594,0.13247043,0.40570328,88,True,False,True,False,Low
With twists and turns at every corner. This is a crazy competition,neutral,anger,neutral,disapproval,intense,moderate,0.24769953,0.1950293,0.540213,66,False,False,False,False,Very Low
"If you don't really want to be here, it's short. They will stop at nothing to come out on top",neutral,disgust,neutral,disapproval,intense,moderate,0.3221909,0.22193189,0.5522434,93,False,False,False,False,Low
I don't want to trust anyone with some of the top names in the industry,neutral,disgust,neutral,disapproval,moderate,moderate,0.30420378,0.1903967,0.5049864,71,False,False,True,False,Very Low
If you're rich bitch show me and me Cindy Bishop back for a cycle like no other,neutral,disgust,neutral,disapproval,moderate,moderate,0.33872646,0.23103033,0.53673,79,False,False,True,False,Low
We'll kill it on the international stage. The challenges are tough,neutral,happiness,neutral,neutral,intense,moderate,0.55455303,0.12405424,0.37353733,66,False,True,False,False,Low
"Okay, I got my work cut out for me now",neutral,happiness,neutral,neutral,moderate,moderate,0.42956904,0.19418588,0.37400073,38,False,True,True,False,Very Low
