text,true_emotion,pred_emotion,true_sub_emotion,pred_sub_emotion,true_intensity,pred_intensity,emotion_confidence,sub_emotion_confidence,intensity_confidence,text_length,emotion_correct,sub_emotion_correct,intensity_correct,all_correct,confidence_level
Hang on to your seats cuz Asia's Next Top Model is back with a vengeance,happiness,anger,excitement,annoyance,intense,moderate,0.33400995,0.12789991,0.48040152,72,False,False,False,False,Very Low
Thousands of model hopefuls from all over Asia jumped at the chance to pursue their supermodel dream,neutral,happiness,neutral,optimism,moderate,mild,0.717556,0.111087024,0.41422024,100,False,False,False,False,Low
But only the standout modeling talent were chosen as our final 14,neutral,happiness,neutral,admiration,moderate,mild,0.689032,0.21396875,0.502262,65,False,False,False,False,High
Prepare for an adventure of a lifetime,happiness,happiness,excitement,approval,intense,mild,0.72873986,0.11538278,0.47551766,38,True,False,False,False,Medium
All I can say girls for this fierce fifth season is be prepared to expect the unexpected,happiness,happiness,excitement,admiration,moderate,mild,0.7386624,0.09095094,0.43877783,88,True,False,False,False,Medium
With twists and turns at every corner. This is a crazy competition,neutral,anger,neutral,annoyance,intense,moderate,0.46005616,0.14231104,0.42446283,66,False,False,False,False,Very Low
"If you don't really want to be here, it's short. They will stop at nothing to come out on top",neutral,anger,neutral,neutral,intense,moderate,0.28253424,0.23846222,0.42003614,93,False,True,False,False,Very Low
I don't want to trust anyone with some of the top names in the industry,neutral,sadness,neutral,neutral,moderate,moderate,0.37551746,0.22222905,0.37965852,71,False,True,True,False,Very Low
If you're rich bitch show me and me Cindy Bishop back for a cycle like no other,neutral,anger,neutral,neutral,moderate,moderate,0.3253845,0.22852626,0.47450146,79,False,True,True,False,Very Low
We'll kill it on the international stage. The challenges are tough,neutral,happiness,neutral,optimism,intense,moderate,0.58850485,0.15790018,0.4062992,66,False,False,False,False,Low
"Okay, I got my work cut out for me now",neutral,fear,neutral,neutral,moderate,moderate,0.32802466,0.27628288,0.4108316,38,False,True,True,False,Very Low
Let the games begin,neutral,happiness,neutral,neutral,intense,neutral,0.41043964,0.4861499,0.49367967,19,False,True,False,False,High
Would say that I'm a model with brains. I am putting my degree in whole,neutral,happiness,neutral,neutral,moderate,mild,0.44802296,0.1786754,0.50839007,71,False,True,False,False,Low
It's now or never and by one last shot before I jump back into the world of academia,neutral,fear,neutral,neutral,intense,moderate,0.42843258,0.23286907,0.39643022,84,False,True,False,False,Very Low
"Indonesia, of course, obviously, we're twins",neutral,happiness,neutral,neutral,neutral,neutral,0.3350166,0.4905239,0.4311493,44,False,True,True,False,Medium
Double power,neutral,neutral,neutral,neutral,moderate,neutral,0.3340355,0.48695573,0.47200778,12,True,True,False,False,Medium
"It was my idea to come to Asia's Next Top Model, sorry, Veronica",happiness,sadness,pride,neutral,mild,moderate,0.600257,0.14111231,0.3573053,64,False,False,False,False,Low
"Even if you're my twin sister, but I'm gonna win this there's two of us and only one winner",neutral,happiness,neutral,neutral,intense,moderate,0.57776815,0.13699596,0.3949432,91,False,True,False,False,Low
Really love fashion. So I started my fashion blog. I have,neutral,happiness,neutral,gratitude,moderate,mild,0.6797633,0.11597093,0.40328652,57,False,False,False,False,Low
"70,000 followers in Instagram right now. They keep on commenting on my photos at the Jenica",neutral,anger,neutral,neutral,moderate,moderate,0.3003449,0.37422037,0.35425517,91,False,True,True,False,Very Low
Please join Asia's Next Top Model for me. I'm gonna do everything to go all the way to the top,happiness,happiness,optimism,neutral,intense,neutral,0.41024435,0.33348796,0.38826534,94,True,False,False,False,Low
"Name is Clara. I'm 21 years old. I'm from Indonesia. I don't have brain. I mean, I'm not smart",neutral,sadness,neutral,neutral,neutral,neutral,0.38343894,0.38831538,0.38163581,94,False,True,True,False,Low
"When I go to primary school, I get bullied",neutral,anger,neutral,annoyance,moderate,moderate,0.443508,0.17647102,0.43341988,42,False,False,True,False,Very Low
I want to prove my primary school who bullied me the ugly ducking now become a pretty pretty face,neutral,fear,neutral,annoyance,intense,moderate,0.27975675,0.08256805,0.5494266,97,False,False,False,False,Very Low
I'm Cara G McElroy and I am your model mentor for this season of Asia's Next Top Model,happiness,happiness,pride,neutral,moderate,mild,0.68527675,0.13594413,0.465343,86,True,False,False,False,Medium
I've worked for many global ad campaigns and worked alongside,neutral,happiness,neutral,neutral,moderate,mild,0.5409812,0.17695601,0.40771663,61,False,True,False,False,Low
Supermodels like Cindy Crawford and Naomi Campbell,neutral,happiness,neutral,neutral,moderate,mild,0.40690613,0.33554906,0.46095026,50,False,True,False,False,Low
Wow Cara is so beautiful. She's tall and she's so poised,surprise,happiness,admiration,admiration,intense,mild,0.7485221,0.27140462,0.5140203,56,False,True,False,False,High
the gorgeous,neutral,happiness,neutral,admiration,moderate,mild,0.74374104,0.23834246,0.57209516,12,False,False,False,False,High
your superstar,neutral,happiness,neutral,admiration,moderate,mild,0.7165228,0.20134921,0.52120435,14,False,False,False,False,High
confidant the ever so graceful,neutral,happiness,neutral,admiration,moderate,mild,0.7658241,0.118996665,0.50250006,30,False,False,False,False,High
"It's Cindy she just walked across I was like, whoa",neutral,surprise,neutral,neutral,intense,mild,0.26237923,0.35059154,0.33201978,50,False,True,False,False,Very Low
"She is gorgeous. I'm like, yeah, she's from Thailand. She's happy. Hi",neutral,happiness,neutral,gratitude,moderate,mild,0.7440071,0.11335258,0.44347546,69,False,False,False,False,Medium
So good to be back and I'm so excited to get to know each and every one of you beautiful ladies this season,neutral,happiness,neutral,gratitude,intense,mild,0.74701434,0.14053628,0.4526263,107,False,False,False,False,Medium
It's all about celebrating,neutral,happiness,neutral,neutral,moderate,mild,0.40640652,0.25198025,0.50285625,26,False,True,False,False,Low
Individuality and bringing out the best of the uniqueness that we see in all of you. We're not just looking for a pretty face,neutral,happiness,neutral,neutral,moderate,mild,0.5026569,0.12583329,0.4468173,125,False,True,False,False,Low
We are looking for a supermodel a rising star someone who can set herself apart from the rest and stand out from the crowd,neutral,happiness,neutral,neutral,moderate,mild,0.7092135,0.12518914,0.46677393,122,False,True,False,False,Medium
"99% I want to be the Asian list of model, but 100% I want to win",neutral,happiness,neutral,optimism,intense,mild,0.6940412,0.13198817,0.47104856,64,False,False,False,False,Medium
14 beautiful women from all across Asia,neutral,happiness,neutral,admiration,neutral,mild,0.7815868,0.1978778,0.5135214,39,False,False,False,False,High
"So on that note ladies, welcome to Asia's next top model",happiness,happiness,excitement,neutral,moderate,neutral,0.48975053,0.39753592,0.41648364,56,True,False,False,False,Medium
